Method,Prior Evaluations (P),Discovery Rate (5 Seeds),Median Steps,Limitation / Information Access
Random-5 Selection,0 calls,40.84% ± 2.94%,2.60,Zero-prior uninformed baseline; frequently probes low-ASR typos
UCB Bandit (Claim-Agnostic),0 calls,72.69% ± 3.96%,1.00,Zero-prior online adaptation; tracks global rates but blind to claim syntax
Adaptive RL Selector (Ours),0 calls,82.16% ± 2.02%,1.20,"Zero-prior claim-adaptive policy (+9.47 pp over Bandit, +41.32 pp over Random)"
Static Top-5 Greedy,"24,640 calls",86.71% ± 1.16%,1.40,"Offline oracle (requires 24,640 prior evaluations to construct ranking)"
Oracle-22 (Exhaustive),"24,640 calls",90.90% ± 0.70%,15.00,Exhaustive theoretical upper ceiling (tests all 22 attacks per claim)
